Open,High,Low,Close,DayofWeek_1,DayofWeek_2,DayofWeek_3,DayofWeek_4
6.07,6.07,5.9475,5.995,0,0,1,0
5.9325,5.9975,5.8875,5.97,0,0,0,1
5.97,6.075,5.97,6.0075,0,0,0,0
6.0,6.04,6.0,6.03,1,0,0,0
6.0325,6.2375,6.0325,6.135,0,1,0,0
6.135,6.22,6.105,6.165,0,0,1,0
6.2275,6.2425,6.0625,6.175,0,0,0,1
6.1125,6.2175,6.1,6.1725,0,0,0,0
6.1375,6.3,6.1375,6.27,1,0,0,0
6.27,6.6125,6.27,6.37,0,1,0,0
6.3125,6.425,6.2875,6.375,0,0,1,0
6.375,6.6,6.2875,6.59,0,0,0,1
6.59,6.775,6.5125,6.575,0,0,0,0
6.5875,6.6375,6.5625,6.5625,1,0,0,0
6.5625,6.8125,6.5,6.535,0,0,1,0
6.535,6.535,6.37,6.37,0,0,0,1
6.4325,6.6125,6.375,6.6075,0,0,0,0
6.6,6.675,6.52,6.655,1,0,0,0
6.68,6.695,6.525,6.66,0,1,0,0
6.635,6.75,6.635,6.74,0,0,1,0
6.74,7.0,6.74,6.945,0,0,0,1
6.9125,6.925,6.5,6.535,0,0,0,0
6.56,6.675,6.5125,6.57,1,0,0,0
6.57,6.57,6.3875,6.4675,0,1,0,0
6.4675,6.4725,5.985,6.0125,0,0,1,0
5.875,6.0,5.375,5.7875,0,0,0,1
5.7875,5.8,5.7,5.76,0,0,0,0
5.7675,6.0,5.7625,5.97,1,0,0,0
5.95,5.9525,5.85,5.8625,0,1,0,0
5.8375,6.0325,5.775,6.0275,0,0,1,0
6.1875,6.4,5.9375,6.25,0,0,0,1
6.25,6.43,6.175,6.2125,0,0,0,0
6.2125,6.25,6.1125,6.195,1,0,0,0
6.2375,6.275,6.175,6.225,0,1,0,0
6.3125,6.3125,6.0,6.0225,0,0,1,0
6.025,6.0875,5.875,5.9875,0,0,0,1
5.9875,6.1,5.975,6.07,0,0,0,0
6.05,6.175,6.05,6.095,1,0,0,0
6.095,6.205,6.0875,6.0875,0,1,0,0
6.0375,6.0625,5.9275,5.995,0,0,1,0
5.9875,6.07,5.925,5.9625,0,0,0,1
6.0,6.13,6.0,6.0375,0,0,0,0
6.0625,6.265,6.0575,6.265,1,0,0,0
6.265,6.45,6.265,6.3075,0,1,0,0
6.2825,6.405,6.2125,6.245,0,0,1,0
6.2125,6.385,6.2125,6.3625,0,0,0,1
6.3625,6.505,6.25,6.505,0,0,0,0
6.505,6.505,6.275,6.32,1,0,0,0
6.4,6.475,6.2625,6.3875,0,1,0,0
6.425,6.55,6.3125,6.4975,0,0,1,0
6.475,6.475,6.33,6.4375,0,0,0,1
6.4375,6.5125,6.3125,6.4125,0,0,0,0
6.4,6.425,6.285,6.285,1,0,0,0
6.3125,6.55,6.2975,6.525,0,1,0,0
6.5,6.625,6.4875,6.57,0,0,1,0
6.54,6.65,6.5075,6.5725,0,0,0,1
6.5625,6.59,6.475,6.5,1,0,0,0
6.5,6.525,6.4875,6.505,0,1,0,0
6.5025,6.525,6.4625,6.5,0,0,1,0
6.5025,6.525,6.3625,6.515,0,0,0,1
6.465,6.55,6.3875,6.4125,0,0,0,0
6.1625,6.3875,6.075,6.205,0,0,0,0
6.205,6.225,5.925,5.9375,1,0,0,0
6.0,6.0,5.75,5.815,0,1,0,0
5.7525,5.7525,5.4125,5.5075,0,0,1,0
5.425,5.5,5.35,5.4125,0,0,0,1
5.375,5.4625,5.1,5.25,0,0,0,0
5.25,5.3375,5.2,5.28,1,0,0,0
5.3425,5.55,5.325,5.5125,0,1,0,0
5.5,5.625,5.275,5.58,0,0,1,0
5.625,5.9875,5.6,5.6,0,0,0,1
5.65,5.925,5.65,5.8175,0,0,0,0
5.8375,6.0,5.8375,5.965,1,0,0,0
5.9625,6.0625,5.7675,5.8125,0,1,0,0
5.8375,6.075,5.8375,6.0325,0,0,1,0
6.0575,6.1475,5.8425,6.0625,0,0,0,1
6.05,6.125,6.025,6.1025,0,0,0,0
6.05,6.0875,5.95,6.0375,1,0,0,0
6.05,6.2,5.925,6.075,0,1,0,0
6.0825,6.2375,6.0825,6.175,0,0,1,0
6.2125,6.2125,6.0375,6.1225,0,0,0,1
6.1225,6.125,5.9925,6.0225,0,0,0,0
6.0225,6.175,6.0125,6.175,1,0,0,0
6.175,6.2875,6.16,6.1625,0,1,0,0
6.15,6.2775,6.08,6.27,0,0,1,0
6.275,6.6,6.2675,6.565,0,0,0,1
6.565,6.625,6.45,6.505,0,0,0,0
6.475,6.6625,6.475,6.5875,1,0,0,0
6.5875,6.615,6.5125,6.575,0,1,0,0
6.55,6.75,6.49,6.725,0,0,1,0
6.725,6.725,6.35,6.49,0,0,0,1
6.4375,6.4375,6.155,6.1625,0,0,0,0
6.2,6.2875,6.14,6.275,1,0,0,0
6.3,6.4475,6.275,6.35,0,1,0,0
6.3525,6.4875,6.3525,6.4875,0,0,1,0
6.4875,6.5625,6.42,6.555,0,0,0,1
6.52,6.6,6.47,6.47,0,0,0,0
6.45,6.4525,6.23,6.425,1,0,0,0
6.375,6.4,6.26,6.2625,0,1,0,0
6.2625,6.3125,6.25,6.2625,0,0,1,0
6.275,6.325,6.27,6.315,0,0,0,1
6.3125,6.375,6.2925,6.35,0,0,0,0
6.3375,6.375,6.05,6.23,1,0,0,0
6.23,6.23,6.05,6.07,0,1,0,0
6.0075,6.03,5.9,5.9225,0,0,1,0
5.925,5.93,5.815,5.8525,0,0,0,1
5.8525,5.8625,5.7625,5.8375,0,0,0,0
5.8625,6.1175,5.8625,6.1,1,0,0,0
6.1,6.2925,6.1,6.25,0,1,0,0
